customer_id,country,city,address,phone,email,first_name,last_name,gender,birth_date,registration_date,contact_information,order_id,order_date,total,order_line_id,product_id,price,quantity,category,product_name,price,volume_ml
17,Mexico,M?xico D.F.,Calle Dr. Jorge Cash 321,(5) 552-3745,guillermofernandez@earthlink.com,Guillermo,Fernandez,M,2003-04-04,2020-01-05,17,8,2020-01-06 20:22:40,2390.00,25,1,425.00,1.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
17,Mexico,M?xico D.F.,Calle Dr. Jorge Cash 321,(5) 552-3745,guillermofernandez@earthlink.com,Guillermo,Fernandez,M,2003-04-04,2020-01-05,17,10,2022-04-30 19:28:40,5155.00,32,1,425.00,3.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,11,2020-01-09 22:10:14,7845.00,39,1,425.00,3.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
1,Argentina,Buenos Aires,Cerrito 333,(1) 135-5555,patriciosimpson@gmail.com,Patricio,Simpson,M,2001-10-24,2020-10-14,1,22,2020-12-15 15:08:16,25080.00,129,1,425.00,3.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
24,Spain,Sevilla,"C/ Romero, 33",(95) 555 82 82,josefreyre@outlook.com,Jose Pedro,Freyre,F,1998-02-09,2020-03-15,24,96,2023-10-09 7:49:12,12495.00,393,1,425.00,7.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
42,France,Lyon,"2, rue du Commerce",78.32.54.86,marysaveley@earthlink.com,Mary,Saveley,F,1999-03-16,2020-02-13,42,143,2022-12-02 7:20:19,1275.00,555,1,425.00,3.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
48,Germany,Brandenburg,Maubelstr. 90,0555-09876,philipcramer@gmail.com,Philip,Cramer,M,2004-09-16,2020-04-15,48,173,2021-05-04 18:47:36,20480.00,641,1,425.00,11.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
49,Germany,Frankfurt a.M.,Magazinweg 7,069-0245984,renatemessner@yahoo.com,Renate,Messner,M,1989-11-05,2020-08-17,49,176,2021-04-11 21:21:39,6915.00,655,1,425.00,2.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
54,Germany,Stuttgart,Adenauerallee 900,0711-020361,ritamuller@yahoo.com,Rita,Muller,F,1996-12-18,2023-03-06,54,189,2020-10-06 3:04:58,30605.00,694,1,425.00,13.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
59,USA,Portland,89 Chiaroscuro Rd.,(503) 555-9573,franwilson@gmail.com,Fran,Wilson,M,2001-11-21,2023-05-11,59,203,2021-07-09 5:47:35,13325.00,730,1,425.00,15.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
65,USA,Butte,55 Grizzly Peak Rd.,(406) 555-5834,liuwong@gmail.com,Liu,Wong,F,2001-08-05,2020-02-04,65,221,2021-01-06 12:44:05,1700.00,778,1,425.00,4.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
66,USA,Kirkland,722 DaVinci Blvd.,(206) 555-8257,helvetiusnagy@gmail.com,Helvetius,Nagy,M,2001-05-29,2023-01-06,66,224,2023-05-11 10:40:28,8900.00,781,1,425.00,13.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,250,2020-05-13 11:37:22,8410.00,854,1,425.00,5.00,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,12,2020-01-14 9:15:40,31705.00,43,2,425.00,8.00,Artificial_molecules,VETIKON,425.00,5.0
12,Canada,Vancouver,1900 Oak St.,(604) 555-3392,yoshitannamuri@gmail.com,Yoshi,Tannamuri,M,1993-09-11,2021-08-17,12,56,2023-11-05 6:44:49,5950.00,244,2,425.00,14.00,Artificial molecules,VETIKON,425.00,5.0
15,Mexico,M?xico D.F.,Mataderos 2312,(5) 555-3932,antoniomoreno@gmail.com,Antonio,Moreno,M,1997-02-10,2021-07-15,15,69,2023-03-06 4:11:02,30305.00,287,2,425.00,10.00,Artificial molecules,VETIKON,425.00,5.0
22,Spain,Madrid,"C/ Moralzarzal, 86",(91) 555 94 44,diegoroel@outlook.com,Diego,Roel,M,1989-02-22,2021-02-20,22,87,2022-11-08 19:06:54,29925.00,359,2,425.00,7.00,Artificial molecules,VETIKON,425.00,5.0
22,Spain,Madrid,"C/ Moralzarzal, 86",(91) 555 94 44,diegoroel@outlook.com,Diego,Roel,M,1989-02-22,2021-02-20,22,89,2023-05-10 15:50:16,42210.00,368,2,425.00,6.00,Artificial molecules,VETIKON,425.00,5.0
30,UK,Cowes,Garden House Crowther Way,(198) 555-8888,helenbennett@gmail.com,Helen,Bennett,F,1986-12-30,2021-07-15,30,115,2020-09-18 9:07:19,53780.00,466,2,425.00,9.00,Artificial molecules,VETIKON,425.00,5.0
33,France,Strasbourg,"24, place Kl?ber",88.60.15.31,frederiqueciteaux@gmail.com,Frederique,Citeaux,F,2004-03-20,2020-07-08,33,122,2021-05-20 12:08:16,23980.00,491,2,425.00,2.00,Artificial molecules,VETIKON,425.00,5.0
40,France,Paris,"265, boulevard Charonne",(1) 42.34.22.66,mariebertrand@earthlink.com,Marie,Bertrand,F,2003-12-17,2021-02-14,40,136,2020-03-27 0:01:33,13990.00,535,2,425.00,7.00,Artificial molecules,VETIKON,425.00,5.0
