customer_id,country,city,address,phone,email
1,Argentina,Buenos Aires,Cerrito 333,(1) 135-5555,patriciosimpson@gmail.com
2,Argentina,Buenos Aires,Ing. Gustavo Moncada 8585 Piso 20-A,(1) 135-5333,yvonnemoncada@gmail.com
3,Argentina,Buenos Aires,Av. del Libertador 900,(1) 123-5555,sergiogutierrez@yahoo.com
4,Brazil,Sao Paulo,"Av. dos Lusíadas, 23",(11) 555-7647,pedroafonso@gmail.com
5,Brazil,Sao Paulo,"Rua Orós, 92",(11) 555-9857,ariacruz@yahoo.com
6,Brazil,Campinas,"Av. Brasil, 442",(11) 555-9482,andrefonseca@gmail.com
7,Brazil,Rio de Janeiro,"Rua do Paço, 67",(21) 555-0091,mariopontes@gmail.com
8,Brazil,Rio de Janeiro,"Rua da Panificadora, 12",(21) 555-4252,bernardobatista@yahoo.com
9,Brazil,Sao Paulo,"Alameda dos Canàrios, 891",(11) 555-1189,luciacarvalho@yahoo.com
10,Brazil,Rio de Janeiro,"Av. Copacabana, 267",(21) 555-3412,janetelimeira@earthlink.com
11,Canada,Tsawassen,23 Tsawassen Blvd.,(604) 555-4729,elizabethlincoln@gmail.com
12,Canada,Vancouver,1900 Oak St.,(604) 555-3392,yoshitannamuri@gmail.com
13,Canada,Montréal,43 rue St. Laurent,(514) 555-8054,jeanfresniere@gmail.com
14,Mexico,México D.F.,Avda. de la Constitución 2222,(5) 555-4729,anatrujillo@gmail.com
15,Mexico,México D.F.,Mataderos 2312,(5) 555-3932,antoniomoreno@gmail.com
16,Mexico,México D.F.,Sierras de Granada 9993,(5) 555-3392,franciscochang@earthlink.com
17,Mexico,México D.F.,Calle Dr. Jorge Cash 321,(5) 552-3745,guillermofernandez@earthlink.com
18,Italy,Torino,Via Monte Bianco 34,011-4988260,paoloaccorti@outlook.com
19,Italy,Bergamo,Via Ludovico il Moro 22,035-640230,giovannirovelli@outlook.com
20,Italy,Reggio Emilia,Strada Provinciale 124,0522-556721,mauriziomoroni@gmail.com
21,Spain,Madrid,"C/ Araquil, 67",(91) 555 22 82,martinsommer@gmail.com
22,Spain,Madrid,"C/ Moralzarzal, 86",(91) 555 94 44,diegoroel@outlook.com
23,Spain,Barcelona,"Rambla de Cataluña, 23",(93) 203 4560,eduardosaavedra@gmail.com
24,Spain,Sevilla,"C/ Romero, 33",(95) 555 82 82,josefreyre@outlook.com
25,Spain,Madrid,"Gran Vía, 1",(91) 745 6200,alejandracamino@yahoo.com
26,UK,London,120 Hanover Sq.,(171) 555-7788,thomashardy@outlook.com
27,UK,London,Fauntleroy Circus,(171) 555-1212,victoriaashworth@outlook.com
28,UK,London,Berkeley Gardens 12 Brewery,(171) 555-2282,elizabethbrown@gmail.com
29,UK,London,35 King George,(171) 555-0297,anndevon@gmail.com
30,UK,Cowes,Garden House Crowther Way,(198) 555-8888,helenbennett@gmail.com
31,UK,London,South House 300 Queensbridge,(171) 555-7733,simoncrowther@yahoo.com
32,UK,London,90 Wadhurst Rd.,(171) 555-1717,harikumar@gmail.com
33,France,Strasbourg,"24, place Kléber",88.60.15.31,frederiqueciteaux@gmail.com
