customer_id,country,city,address,phone,email,customer_id,first_name,last_name,gender,birth_date,registration_date,contact_information,order_id,customer_id,order_date,total,order_line_id,order_id,product_id,price,quantity,product_id,category,product_name,price,volume_ml
17,Mexico,M?xico D.F.,Calle Dr. Jorge Cash 321,(5) 552-3745,guillermofernandez@earthlink.com,17,Guillermo,Fernandez,M,2003-04-04,2020-01-05,17,8,17,2020-01-06 20:22:40,2390.00,25,8,1,425.00,1.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
17,Mexico,M?xico D.F.,Calle Dr. Jorge Cash 321,(5) 552-3745,guillermofernandez@earthlink.com,17,Guillermo,Fernandez,M,2003-04-04,2020-01-05,17,10,17,2022-04-30 19:28:40,5155.00,32,10,1,425.00,3.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,74,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,11,74,2020-01-09 22:10:14,7845.00,39,11,1,425.00,3.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
1,Argentina,Buenos Aires,Cerrito 333,(1) 135-5555,patriciosimpson@gmail.com,1,Patricio ,Simpson,M,2001-10-24,2020-10-14,1,22,1,2020-12-15 15:08:16,25080.00,129,22,1,425.00,3.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
24,Spain,Sevilla,"C/ Romero, 33",(95) 555 82 82,josefreyre@outlook.com,24,Jose Pedro,Freyre,F,1998-02-09,2020-03-15,24,96,24,2023-10-09 7:49:12,12495.00,393,96,1,425.00,7.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
42,France,Lyon,"2, rue du Commerce",78.32.54.86,marysaveley@earthlink.com,42,Mary,Saveley,F,1999-03-16,2020-02-13,42,143,42,2022-12-02 7:20:19,1275.00,555,143,1,425.00,3.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
48,Germany,Brandenburg,Maubelstr. 90,0555-09876,philipcramer@gmail.com,48,Philip,Cramer,M,2004-09-16,2020-04-15,48,173,48,2021-05-04 18:47:36,20480.00,641,173,1,425.00,11.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
49,Germany,Frankfurt a.M.,Magazinweg 7,069-0245984,renatemessner@yahoo.com,49,Renate,Messner,M,1989-11-05,2020-08-17,49,176,49,2021-04-11 21:21:39,6915.00,655,176,1,425.00,2.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
54,Germany,Stuttgart,Adenauerallee 900,0711-020361,ritamuller@yahoo.com,54,Rita,Muller,F,1996-12-18,2023-03-06,54,189,54,2020-10-06 3:04:58,30605.00,694,189,1,425.00,13.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
59,USA,Portland,89 Chiaroscuro Rd.,(503) 555-9573,franwilson@gmail.com,59,Fran,Wilson,M,2001-11-21,2023-05-11,59,203,59,2021-07-09 5:47:35,13325.00,730,203,1,425.00,15.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
65,USA,Butte,55 Grizzly Peak Rd.,(406) 555-5834,liuwong@gmail.com,65,Liu,Wong,F,2001-08-05,2020-02-04,65,221,65,2021-01-06 12:44:05,1700.00,778,221,1,425.00,4.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
66,USA,Kirkland,722 DaVinci Blvd.,(206) 555-8257,helvetiusnagy@gmail.com,66,Helvetius,Nagy,M,2001-05-29,2023-01-06,66,224,66,2023-05-11 10:40:28,8900.00,781,224,1,425.00,13.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,74,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,250,74,2020-05-13 11:37:22,8410.00,854,250,1,425.00,5.00,1,Artificial molecules,HYDRATROPIC ALDEHYDE DIMETHYL ACETAL,425.00,5.0
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru,74,Kasheva,Nadezhda,F,1998-01-22,2020-01-09,74,12,74,2020-01-14 9:15:40,31705.00,43,12,2,425.00,8.00,2,Artificial molecules,VETIKON,425.00,5.0
12,Canada,Vancouver,1900 Oak St.,(604) 555-3392,yoshitannamuri@gmail.com,12,Yoshi,Tannamuri,M,1993-09-11,2021-08-17,12,56,12,2023-11-05 6:44:49,5950.00,244,56,2,425.00,14.00,2,Artificial molecules,VETIKON,425.00,5.0
15,Mexico,M?xico D.F.,Mataderos 2312,(5) 555-3932,antoniomoreno@gmail.com,15,Antonio,Moreno,M,1997-02-10,2021-07-15,15,69,15,2023-03-06 4:11:02,30305.00,287,69,2,425.00,10.00,2,Artificial molecules,VETIKON,425.00,5.0
22,Spain,Madrid,"C/ Moralzarzal, 86",(91) 555 94 44,diegoroel@outlook.com,22,Diego,Roel,M,1989-02-22,2021-02-20,22,87,22,2022-11-08 19:06:54,29925.00,359,87,2,425.00,7.00,2,Artificial molecules,VETIKON,425.00,5.0
22,Spain,Madrid,"C/ Moralzarzal, 86",(91) 555 94 44,diegoroel@outlook.com,22,Diego,Roel,M,1989-02-22,2021-02-20,22,89,22,2023-05-10 15:50:16,42210.00,368,89,2,425.00,6.00,2,Artificial molecules,VETIKON,425.00,5.0
30,UK,Cowes,Garden House Crowther Way,(198) 555-8888,helenbennett@gmail.com,30,Helen,Bennett,F,1986-12-30,2021-07-15,30,115,30,2020-09-18 9:07:19,53780.00,466,115,2,425.00,9.00,2,Artificial molecules,VETIKON,425.00,5.0
33,France,Strasbourg,"24, place Kl?ber",88.60.15.31,frederiqueciteaux@gmail.com,33,Frederique,Citeaux,F,2004-03-20,2020-07-08,33,122,33,2021-05-20 12:08:16,23980.00,491,122,2,425.00,2.00,2,Artificial molecules,VETIKON,425.00,5.0
40,France,Paris,"265, boulevard Charonne",(1) 42.34.22.66,mariebertrand@earthlink.com,40,Marie,Bertrand,F,2003-12-17,2021-02-14,40,136,40,2020-03-27 0:01:33,13990.00,535,136,2,425.00,7.00,2,Artificial molecules,VETIKON,425.00,5.0
46,Germany,Aachen,Walserweg 21,0241-039123,svenottlieb@gmail.com,46,Sven,Ottlieb,M,1991-05-17,2020-01-19,46,163,46,2021-06-09 7:34:32,11730.00,614,163,2,425.00,8.00,2,Artificial molecules,VETIKON,425.00,5.0
48,Germany,Brandenburg,Maubelstr. 90,0555-09876,philipcramer@gmail.com,48,Philip,Cramer,M,2004-09-16,2020-04-15,48,174,48,2022-06-05 10:09:51,9390.00,649,174,2,425.00,4.00,2,Artificial molecules,VETIKON,425.00,5.0
59,USA,Portland,89 Chiaroscuro Rd.,(503) 555-9573,franwilson@gmail.com,59,Fran,Wilson,M,2001-11-21,2023-05-11,59,202,59,2022-05-18 20:02:04,13165.00,728,202,2,425.00,10.00,2,Artificial molecules,VETIKON,425.00,5.0
60,USA,Anchorage,2743 Bering St.,(907) 555-7584,renephillips@gmail.com,60,Rene,Phillips,M,2001-09-29,2023-06-01,60,208,60,2023-01-24 6:00:32,12150.00,743,208,2,425.00,10.00,2,Artificial molecules,VETIKON,425.00,5.0
61,USA,Albuquerque,2817 Milton Dr.,(505) 555-5939,paulawilson@gmail.com,61,Paula,Wilson,F,2003-05-30,2020-06-17,61,209,61,2021-09-14 10:32:05,14605.00,747,209,2,425.00,2.00,2,Artificial molecules,VETIKON,425.00,5.0
72,Russia,Saint Petersburg,Peter the Great Street 9,79123471955,polinam@mail.ru,72,Melnik,Polina,F,2002-01-23,2023-05-02,72,244,72,2023-06-26 23:28:50,18760.00,840,244,2,425.00,14.00,2,Artificial molecules,VETIKON,425.00,5.0
82,Russia,Moscow,Chistoprudnensky Boulevard 4d,79282319287,d_privalova2000@gmail.com,82,Privalova,Daria,F,1989-01-20,2020-01-17,82,270,82,2022-01-28 19:31:10,19310.00,915,270,2,425.00,15.00,2,Artificial molecules,VETIKON,425.00,5.0
87,Russia,Saint Petersburg,"St. Yesenina 17, apt. 29",79175199721,solntsevzenite@yandex.ru,87,Solntsev,Sergei,M,1999-02-12,2020-05-11,87,298,87,2020-09-14 2:32:16,20480.00,993,298,2,425.00,13.00,2,Artificial molecules,VETIKON,425.00,5.0
